Edit ID,Software version,Date,Editor,Area,Change type,Before,After / change,Source files,Requirement basis,Test evidence,Commit ID,Management acceptance,Deployment
SW-0015,0.3.0-alpha.3,2026-09-12,AI-assisted build in this conversation,Shipping documents insurance and BL control,New,Only generic order/shipment attachments existed,"Commercial Invoice, Packing List, BL draft verification, separate shipment insurance under master policy, final BL, vessel/voyage requirements, current PO/artwork confirmation and pre-dispatch QC checks before Loaded on Vessel.",shared/domain.mjs; shared/shipping.mjs; web/app.mjs,User-confirmed shipping document and insurance controls,TEST_REPORT.md; automated-tests.tap; shipping-browser-results.json,a2daf489a5324944da2a4352f5ad53a1f21a6406,Pending,Not deployed
SW-0016,0.3.0-alpha.3,2026-09-12,AI-assisted build in this conversation,Freight benchmark and trend control,New,No forwarder weekly rate benchmarking,"Weekly freight rate import by route/container; USD 100 variance warning; already-booked shipment rebooking warning when later market rate falls; rate history/trends and rising-rate advance-booking watch.",shared/shipping.mjs; shared/domain.mjs; shared/seed.mjs; web/app.mjs; templates/reference/VJ_Weekly_Freight_Rate_Sample_Week36.xlsx,User-provided VJ weekly buy-rate workbook and clarified USD 100 warning rule,TEST_REPORT.md; automated-tests.tap; shipping-browser-results.json,a2daf489a5324944da2a4352f5ad53a1f21a6406,Pending,Not deployed
SW-0017,0.3.0-alpha.3,2026-09-12,AI-assisted build in this conversation,Shipping UI packaging and regression,New,No dedicated Shipping and Freight workspace,"Container tracking, freight-rate, trend, compliance and import-preview screens; test evidence and version documentation; cost-per-USD explicitly deferred pending user sample.",web/app.mjs; web/styles.css; tests/; docs/; scripts/build.mjs,Management request to build Shipping module after requirements clarification,TEST_REPORT.md; automated-tests.tap; browser-results.json; plm-browser-results.json; shipping-browser-results.json,a2daf489a5324944da2a4352f5ad53a1f21a6406,Pending,Not deployed
SW-0018,0.3.1-alpha.4,2026-09-12,AI-assisted build in this conversation,Corporate visual theme,UI refresh,Existing internal green theme,"Applied FarmingHub.in-inspired corporate visual system across sidebar, top bar, cards, controls, login and status surfaces without changing workflows.",web/styles.css; web/app.mjs,User request to use FarmingHub.in theme,Regression tests + theme screenshots,,Pending,Not deployed
SW-0019,0.3.2-alpha.5,2026-09-12,AI-assisted build in this conversation,Official RGB logo application,Brand asset update,"Temporary/inferred brand mark and remote asset dependency","Applied official Farming Hub RGB logo to sidebar, login, favicon and Purchase Order print header; this release was superseded by the full guideline-compliance theme","web/app.mjs; web/index.html; web/styles.css",User request to use Farming Hub logo,Regression pending at time of supersession,,Pending,Not deployed
SW-0020,0.3.3-alpha.6,2026-09-12,AI-assisted build in this conversation,Brand guideline compliance,UI refresh,"Inferred public-site theme and remote logo reference","Applied uploaded Farming Hub guideline colors, AmsiPro-first typography, approved curved/spark brand-element language, local official RGB logo and logo integrity rules; bundled guideline/logo as project source of truth","web/styles.css; web/app.mjs; web/index.html; web/assets/farming-hub-logo.png; scripts/build.mjs; server/index.mjs; docs/brand/*; docs/THEME_REFERENCE.md",User-provided Farming Hub Brand Guidelines and RGB logo,"67 native + 27 Purchase browser + 7 PLM browser + 7 Shipping browser checks",,Pending,Not deployed
SW-0021,0.4.0-alpha.7,2026-09-12,AI-assisted build in this conversation,Supplier RMB/USD price-list master,New,No supplier commercial price-list master,"Current product-wise supplier prices in RMB/CNY or USD, effective dates, references, remarks, revisions and retained superseded history.",shared/domain.mjs; shared/seed.mjs; web/app.mjs,User request to maintain supplier product price lists in RMB and USD,TEST_REPORT.md; automated-tests.tap; price-browser-results.json,,Pending,Not deployed
SW-0022,0.4.0-alpha.7,2026-09-12,AI-assisted build in this conversation,PO price-list auto-fill and variance warning,New,PO unit price was fully manual,"Latest matching supplier price auto-fills PO line; manual negotiated difference remains allowed with visible warning; price-list revision and override are snapshotted and later list revisions never rewrite existing PO records.",shared/domain.mjs; web/app.mjs; tests/domain.test.mjs; tests/price_browser_flow.py,User-confirmed rule to auto-pull latest approved/current price and warn on manual differences,TEST_REPORT.md; automated-tests.tap; price-browser-results.json,,Pending,Not deployed
SW-0023,0.4.1-alpha.8,2026-09-12,AI-assisted build in this conversation,Visible PO-to-port workflow,Workflow correction,"Mandatory gates existed but several were hidden or not surfaced in the primary order status","Every mandatory stage is visible in the top timeline and the header primary action follows the next required step through India-port arrival.","shared/domain.mjs; web/app.mjs",Management test feedback requiring visible step-by-step status and no hidden gates,"TEST_REPORT.md; automated-tests.tap; browser-results.json; workflow-browser-report.json",,Pending,Not deployed
SW-0024,0.4.1-alpha.8,2026-09-12,AI-assisted build in this conversation,Technical confirmation and payment milestone,Workflow correction,"Technical confirmation and payment were incomplete / misplaced in the visible sequence","Added supplier technical confirmation after PI approval; payment is one visible milestone with SWIFT evidence, bank reference and FX details and starts production lead-time when applicable.","shared/domain.mjs; web/app.mjs; tests/domain.test.mjs",Management correction to PO→PI→spec/artwork→payment flow,"TEST_REPORT.md; automated-tests.tap; browser-results.json; workflow-browser-report.json",,Pending,Not deployed
SW-0025,0.4.1-alpha.8,2026-09-12,AI-assisted build in this conversation,Corrected production and shipping sequence,Workflow correction,"Pre-production sample was too early; pre-dispatch QC existed; BL/insurance sequencing was wrong","Moved pre-production sample after payment/lead-time start and separated completion from approval; retained mandatory bulk QC; removed separate pre-dispatch QC; final BL then insurance now follow vessel loading before India-port closure.","shared/domain.mjs; shared/shipping.mjs; shared/seed.mjs; web/app.mjs",Management corrected production/shipping sequence,"TEST_REPORT.md; automated-tests.tap; shipping-browser-results.json; workflow-browser-report.json",,Pending,Not deployed
SW-0026,0.4.1-alpha.8,2026-09-12,AI-assisted build in this conversation,End-to-end workflow testability,Regression/test enhancement,"No single browser test clicked a fresh order through every mandatory corrected stage","Added dedicated fresh-order browser test from draft through supplier acknowledgement, PI, technical/artwork, payment, production, container, documents, vessel, BL, insurance and India-port completion; also fixed document next-action preselection.","web/app.mjs; tests/workflow_browser_flow.py; tests/browser_flow.py",Management request to complete changes and run a full test before delivery,"TEST_REPORT.md; workflow-browser-report.json",,Pending,Not deployed
SW-0033,Supplier TAT override reason visibility,"Only show and require Supplier-agreed TAT override reason when supplier production commitment differs from vendor standard days; hide and clear when equal.",web/app.mjs; shared/domain.mjs; tests/domain.test.mjs,0.5.2-alpha.13,Pending
